source,target,regex,code
/product-category/3d-surfaces/,/case-studies/,false,301
/product-category/art/,/case-studies/,false,301
/product-category/art/3-d-wall-art-fibonacci-sunflower-spiral/,/case-studies/,false,301
/product-category/art/patterns-of-nature-art/,/case-studies/,false,301
/product/3d-wall-art-fibonacci-sunflower-spiral-golden-ratio-artist-bobby-hartley-patterns-wood/,/case-studies/,false,301
/product/custom-3d-motivational-wall-art/,/case-studies/,false,301
/product/custom-big-finger-custom-3d/,/case-studies/,false,301
/product/custom-route-66-signs-3d/,/case-studies/,false,301
/product/geometric-wood-3d-surfaces/,/case-studies/,false,301
/product/new-york-city-hope-wall-art/,/case-studies/,false,301
/product/new-york-city-manhattan-3d-map-nyc-mixed-media-wall-art/,/case-studies/,false,301
/product/patterns-of-nature-art/,/case-studies/,false,301
/product/the-pennant-custom-routed-decor-customizable-3d-art/,/case-studies/,false,301
/product/wall-map-art-the-florida-keys-3d-wall-art/,/case-studies/,false,301
/product-category/architectural-products/,/commercial-signs-jacksonville-fl/,false,301
/product-category/architectural-products/architectural-medallions/,/commercial-signs-jacksonville-fl/,false,301
/product-category/branded-environments/,/commercial-signs-jacksonville-fl/,false,301
/product-category/church-branding/,/commercial-signs-jacksonville-fl/,false,301
/product-category/government-agencies/,/commercial-signs-jacksonville-fl/,false,301
/product-category/military/,/commercial-signs-jacksonville-fl/,false,301
/product-category/school-branding/,/commercial-signs-jacksonville-fl/,false,301
/product-category/school-branding/custom-podiums/,/commercial-signs-jacksonville-fl/,false,301
/product-category/wall-signs-3d/,/commercial-signs-jacksonville-fl/,false,301
/product/3d-business-signs-custom-office/,/commercial-signs-jacksonville-fl/,false,301
/product/a-frame-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/architectural-medallions/,/commercial-signs-jacksonville-fl/,false,301
/product/architectural-products/,/commercial-signs-jacksonville-fl/,false,301
/product/boutique-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/branded-environments/,/commercial-signs-jacksonville-fl/,false,301
/product/cabinet-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/church-branding/,/commercial-signs-jacksonville-fl/,false,301
/product/corporate-office-wall-displays/,/commercial-signs-jacksonville-fl/,false,301
/product/corporate-wall-branding/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-3d-signs-business/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-3d-wall-sign-customizable/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-business-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-podiums/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-quality-office-sign/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-restaurant-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-spa-signs/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-wall-display/,/commercial-signs-jacksonville-fl/,false,301
/product/custom-wall-signs/,/commercial-signs-jacksonville-fl/,false,301
