source,target,regex,code
/contact-brand-9-signs/,/contact/,false,301
/products/,/store-effective-signage-branding/,false,301
/shop/,/store-effective-signage-branding/,false,301
/old-home/,/,false,301
/home/,/,false,301
/blog/,/blog-news/,false,301
/homebuilder-signage/,/homebuilder-signage-florida/,false,301
/development-signage/,/developer-signage-display-florida/,false,301
/wayfinding-signage/,/services-brand-9/,false,301
/military-base-signage/,/services-brand-9/,false,301
/property-management-signage/,/developer-signage-display-florida/,false,301
/interior-displays/,/homebuilder-signage-florida/,false,301
/product/a-frame-signs/,/services-brand-9/,false,301
^/tag/.*$,,true,410
